scene,det_id,cx,cy,bbox,area,score,rf,cnn,hsv,depth,clip,hsv_frac,lap_var
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,4,74,54,"(59, 25, 30, 58)",1740,0.7163,0.9684,0.5026,1.0,0.0142,0.5034,0.5395,14.2209
0f_jpg.rf.B5OcBVW1HBdMy9wFtBFi.jpg,1,406,503,"(399, 494, 15, 18)",270,0.6458,0.7024,0.5505,1.0,0.0732,0.5169,0.8657,73.2299
0f_jpg.rf.B5OcBVW1HBdMy9wFtBFi.jpg,2,497,493,"(483, 475, 29, 37)",1073,0.7211,0.9435,0.5016,1.0,0.1531,0.5236,0.7608,153.1105
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,1,178,399,"(162, 385, 32, 29)",928,0.487,0.2882,0.4916,1.0,0.1409,0.5125,0.7245,140.9286
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,2,194,327,"(186, 320, 17, 14)",238,0.6325,0.7102,0.5126,1.0,0.0456,0.5103,0.7135,45.6014
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,3,329,315,"(322, 310, 14, 10)",140,0.6601,0.7182,0.5014,1.0,0.3321,0.5196,0.3566,332.0693
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,4,198,300,"(193, 294, 10, 13)",130,0.6297,0.7102,0.4951,1.0,0.0788,0.5132,0.62,78.7672
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,5,128,316,"(66, 251, 125, 130)",16250,0.5108,0.3087,0.5109,1.0,0.2392,0.5283,0.64,239.2328
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,6,138,227,"(129, 222, 19, 11)",209,0.4823,0.2882,0.4741,1.0,0.1554,0.5031,0.6143,155.3763
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,7,191,170,"(151, 95, 80, 151)",12080,0.4888,0.2944,0.4526,1.0,0.2736,0.5087,0.5856,273.6278
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,1,235,421,"(230, 406, 10, 31)",310,0.4842,0.2841,0.4935,1.0,0.1196,0.5022,0.6744,119.6463
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,2,209,351,"(175, 320, 69, 63)",4347,0.4801,0.2825,0.4813,1.0,0.1273,0.5045,0.4079,127.308
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,3,224,274,"(220, 263, 9, 23)",207,0.5291,0.2964,0.4747,0.7959,1.0,0.5239,0.1592,1071.2957
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,4,135,249,"(127, 243, 17, 13)",221,0.5318,0.2985,0.4893,1.0,0.5604,0.5163,0.6234,560.3554
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,5,154,128,"(125, 98, 58, 60)",3480,0.4973,0.2968,0.4935,1.0,0.2066,0.5065,0.6024,206.5575
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,6,315,91,"(293, 70, 44, 42)",1848,0.5741,0.3037,0.4962,1.0,0.9412,0.5338,0.5185,941.2043
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,7,317,57,"(309, 49, 17, 16)",272,0.52,0.3037,0.4975,1.0,0.3953,0.5048,0.4963,395.2717
1000_F_621213903_SBHsy38t0vJNK8TZVz1utyO75eRRiIyT_jpg.rf.vOj7pvuXCbzoLLTVcZ8y.jpg,8,264,48,"(252, 36, 25, 24)",600,0.5743,0.2997,0.484,1.0,1.0,0.5276,0.3131,1219.3731
10_jpg.rf.sXFJUhU0cV4b77QEPCBX.jpg,1,357,333,"(270, 282, 174, 102)",17748,0.481,0.0271,0.49,1.0,1.0,0.5054,0.5367,2950.8154
10_jpg.rf.sXFJUhU0cV4b77QEPCBX.jpg,2,243,219,"(228, 202, 30, 34)",1020,0.4967,0.1445,0.5245,0.8126,1.0,0.4736,0.1625,5824.8556
10_jpg.rf.sXFJUhU0cV4b77QEPCBX.jpg,3,312,190,"(257, 149, 111, 83)",9213,0.5033,0.1094,0.4715,1.0,1.0,0.4973,0.3355,5366.7939
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,1,257,254,"(250, 249, 15, 10)",150,0.5811,0.3037,0.4994,1.0,1.0,0.522,0.3182,1499.744
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,2,88,253,"(81, 245, 15, 17)",255,0.7098,0.6641,0.5066,1.0,1.0,0.5056,0.2618,3230.1124
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,3,179,199,"(165, 192, 28, 15)",420,0.5914,0.3868,0.5037,1.0,0.7968,0.5105,0.5065,796.8449
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,4,136,174,"(125, 165, 23, 18)",414,0.5817,0.3179,0.509,1.0,0.9226,0.5063,0.4962,922.5987
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,5,247,146,"(230, 131, 35, 31)",1085,0.8015,0.9516,0.4812,1.0,1.0,0.5078,0.3825,1840.8532
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,6,186,121,"(153, 88, 66, 67)",4422,0.8165,0.9591,0.5167,1.0,1.0,0.5033,0.4805,1135.6888
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,1,328,391,"(293, 359, 71, 65)",4615,0.7944,0.9544,0.4988,1.0,0.8582,0.5054,0.5516,858.235
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,2,264,362,"(248, 342, 33, 40)",1320,0.7253,0.725,0.4902,1.0,1.0,0.511,0.4385,1457.6172
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,3,378,340,"(365, 329, 27, 22)",594,0.5187,0.3127,0.5047,1.0,0.3264,0.5067,0.4563,326.4299
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,4,293,323,"(288, 312, 11, 23)",253,0.8027,0.9544,0.482,1.0,1.0,0.5241,0.4224,2309.0345
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,5,334,314,"(320, 306, 28, 16)",448,0.5474,0.3816,0.5027,1.0,0.3787,0.5143,0.508,378.7446
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,1,473,242,"(466, 234, 15, 16)",240,0.7686,0.96,0.4729,1.0,0.6703,0.4991,0.582,670.2815
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,2,293,238,"(286, 231, 14, 14)",196,0.5959,0.3179,0.5275,1.0,1.0,0.5201,0.5015,1797.1845
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,3,348,273,"(268, 199, 161, 149)",23989,0.5746,0.3037,0.481,1.0,1.0,0.5137,0.3539,2124.3316
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,4,335,199,"(324, 193, 23, 12)",276,0.5915,0.3179,0.5149,1.0,1.0,0.5058,0.4262,1483.8782
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,1,94,307,"(87, 302, 14, 11)",154,0.5578,0.5174,0.4868,1.0,0.0636,0.4996,0.2876,63.5859
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,2,262,8,"(252, 0, 21, 16)",336,0.5017,0.2992,0.514,1.0,0.1709,0.4982,0.2107,170.8609
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,3,10,16,"(0, 0, 21, 32)",672,0.566,0.5146,0.5221,1.0,0.0318,0.4995,0.3197,31.803
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,1,444,500,"(436, 489, 16, 23)",368,0.6669,0.5549,0.4934,1.0,1.0,0.5082,0.7241,3947.8322
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,2,418,494,"(411, 486, 15, 16)",240,0.6679,0.5549,0.4962,1.0,1.0,0.5098,0.5516,2837.7561
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,3,485,494,"(459, 477, 53, 35)",1855,0.6322,0.4415,0.5076,1.0,1.0,0.5043,0.7429,2413.8551
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,4,54,492,"(16, 472, 77, 40)",3080,0.5834,0.3179,0.4917,1.0,1.0,0.5056,0.8063,1896.1829
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,5,202,436,"(195, 427, 14, 19)",266,0.5234,0.3127,0.5249,1.0,0.3027,0.5062,0.8486,302.6797
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,6,15,417,"(9, 413, 12, 9)",108,0.5867,0.5535,0.5118,1.0,0.1379,0.5044,0.7857,137.9066
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,7,100,414,"(91, 409, 19, 10)",190,0.5926,0.5524,0.522,1.0,0.1658,0.507,0.9076,165.7629
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,8,328,416,"(321, 408, 14, 17)",238,0.5393,0.3167,0.5425,1.0,0.3864,0.5079,0.8568,386.3572
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,9,23,378,"(17, 373, 13, 10)",130,0.5951,0.5485,0.5048,1.0,0.2644,0.5059,0.4291,264.42
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,10,282,349,"(278, 338, 9, 23)",207,0.46,0.1445,0.5224,1.0,0.2661,0.4875,0.449,266.0735
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,11,160,286,"(151, 276, 18, 20)",360,0.6166,0.5455,0.5356,1.0,0.3825,0.4989,0.576,382.4574
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,12,491,243,"(484, 239, 14, 9)",126,0.5724,0.54,0.5025,1.0,0.0755,0.5044,0.3864,75.5147
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,13,435,230,"(431, 224, 9, 13)",117,0.5743,0.54,0.5136,1.0,0.0553,0.5066,0.3829,55.3298
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,14,103,228,"(96, 222, 14, 12)",168,0.4586,0.536,0.508,0.4407,0.0506,0.5073,0.0881,50.5674
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,15,461,143,"(455, 139, 12, 8)",96,0.5691,0.5242,0.5115,1.0,0.0655,0.5075,0.3292,65.5416
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,16,287,94,"(278, 90, 18, 9)",162,0.4987,0.5151,0.4891,0.6905,0.091,0.4988,0.1381,91.03
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,17,314,103,"(300, 89, 29, 29)",841,0.5686,0.531,0.5031,1.0,0.067,0.4977,0.2017,66.9677
13_jpg.rf.6PfPe4Q5FcM3WU69wARp.jpg,1,47,496,"(0, 481, 95, 31)",2945,0.6337,0.7136,0.5156,1.0,0.0349,0.5176,0.9162,34.8794
13_jpg.rf.6PfPe4Q5FcM3WU69wARp.jpg,2,417,58,"(407, 51, 21, 14)",294,0.5782,0.5289,0.5231,1.0,0.0994,0.5096,0.6445,99.4499
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,1,417,452,"(407, 444, 20, 16)",320,0.6656,0.5224,0.5221,1.0,1.0,0.5103,0.4989,1072.7151
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,2,507,292,"(502, 287, 10, 10)",100,0.4992,0.3077,0.5294,1.0,0.0619,0.5021,0.8977,61.9446
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,3,489,172,"(466, 154, 46, 37)",1702,0.492,0.0249,0.5469,1.0,0.9191,0.5055,0.8607,919.0591
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,4,222,96,"(207, 76, 31, 40)",1240,0.8195,1.0,0.4843,1.0,1.0,0.5334,0.53,2420.4265
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,5,206,50,"(195, 29, 23, 43)",989,0.6829,0.9659,0.471,0.4,1.0,0.5175,0.08,1202.7202
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,6,49,16,"(0, 0, 99, 32)",3168,0.737,0.7264,0.5222,1.0,1.0,0.5174,0.8955,1328.7232
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,1,96,114,"(78, 73, 36, 82)",2952,0.4919,0.2985,0.4732,1.0,0.2181,0.5099,0.6436,218.0859
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,2,99,68,"(90, 61, 18, 15)",270,0.5126,0.3127,0.4903,1.0,0.3159,0.5098,0.6951,315.8922
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,3,202,53,"(157, 10, 90, 86)",7740,0.477,0.3127,0.4424,1.0,0.1277,0.5061,0.6564,127.6534
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,4,261,23,"(250, 6, 23, 35)",805,0.5062,0.2985,0.5072,1.0,0.2416,0.5131,0.2736,241.6428
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,5,141,43,"(106, 0, 70, 87)",6090,0.4971,0.3127,0.4967,1.0,0.1379,0.4996,0.7182,137.9123
14_jpg.rf.Ie3lfICCvQrk35bICAX3.jpg,1,370,377,"(353, 363, 35, 28)",980,0.5295,0.1445,0.5111,1.0,1.0,0.4931,0.3697,2058.5164
14_jpg.rf.Ie3lfICCvQrk35bICAX3.jpg,2,385,218,"(374, 206, 23, 24)",552,0.6804,0.6227,0.464,1.0,1.0,0.5343,0.3619,2540.2313
14_jpg.rf.VpBCTCV39Y1aQr1GPg4q.jpg,1,227,428,"(218, 414, 18, 29)",522,0.6865,0.6227,0.4817,1.0,1.0,0.5303,0.3675,2063.5149
14_jpg.rf.VpBCTCV39Y1aQr1GPg4q.jpg,2,344,403,"(335, 388, 18, 30)",540,0.4805,0.0316,0.4841,1.0,1.0,0.4979,0.4111,2747.5417
14_jpg.rf.VpBCTCV39Y1aQr1GPg4q.jpg,3,260,386,"(245, 362, 31, 48)",1488,0.5535,0.3037,0.4849,0.8876,1.0,0.5128,0.1775,1393.3788
15_jpg.rf.GFuly0eQ0Sww19YTb3Mq.jpg,1,138,340,"(111, 320, 54, 40)",2160,0.4829,0.0271,0.4953,1.0,1.0,0.4766,0.2281,2242.6882
15_jpg.rf.GFuly0eQ0Sww19YTb3Mq.jpg,2,336,194,"(326, 180, 20, 29)",580,0.474,0.0271,0.4699,1.0,1.0,0.4937,0.6738,2861.2508
15_jpg.rf.GFuly0eQ0Sww19YTb3Mq.jpg,3,295,189,"(274, 157, 42, 64)",2688,0.5163,0.0996,0.5182,1.0,1.0,0.48,0.4754,1555.3863
15_jpg.rf.GFuly0eQ0Sww19YTb3Mq.jpg,4,219,171,"(188, 154, 62, 34)",2108,0.4805,0.0271,0.4887,1.0,1.0,0.4966,0.6237,2439.1538
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,1,375,340,"(348, 321, 54, 39)",2106,0.4869,0.0271,0.5069,1.0,1.0,0.4842,0.2344,2791.3175
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,2,271,295,"(189, 272, 165, 46)",7590,0.6594,0.5509,0.4761,1.0,1.0,0.5157,0.6355,2077.1647
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,3,352,246,"(300, 219, 105, 54)",5670,0.5149,0.0996,0.5145,1.0,1.0,0.5011,0.5048,1698.1989
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,4,180,188,"(173, 180, 15, 16)",240,0.4786,0.0271,0.4831,1.0,1.0,0.492,0.5529,2149.1671
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,5,194,235,"(109, 157, 171, 157)",26847,0.5762,0.3179,0.4712,1.0,1.0,0.5195,0.5403,2267.8949
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,6,293,172,"(264, 153, 59, 39)",2301,0.477,0.0271,0.4785,1.0,1.0,0.4952,0.652,2366.0239
16_jpg.rf.6DAvm25nW55gQV2vTIKH.jpg,1,346,207,"(329, 199, 35, 17)",595,0.6436,0.5549,0.5266,0.8254,1.0,0.5086,0.1651,2205.7689
16_jpg.rf.BPxUp4onx3Jb9vuciPKZ.jpg,1,346,207,"(330, 200, 33, 15)",495,0.6632,0.5373,0.5004,1.0,1.0,0.5124,0.2288,3458.1326
16_jpg.rf.h3dQQdJlrp8ucXQKz5ua.jpg,1,304,345,"(296, 328, 16, 35)",560,0.6617,0.5483,0.4852,1.0,1.0,0.5086,0.2264,3515.5422
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,1,311,489,"(300, 477, 22, 24)",528,0.7259,0.9627,0.5071,1.0,0.115,0.5001,0.4338,115.0479
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,2,392,483,"(382, 471, 21, 25)",525,0.7074,0.9568,0.4708,1.0,0.0776,0.4968,0.6372,77.5674
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,3,283,422,"(277, 411, 13, 23)",299,0.5265,0.3037,0.5142,1.0,0.4027,0.5068,0.6731,402.6702
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,4,491,307,"(487, 299, 9, 17)",153,0.7186,0.9444,0.5058,1.0,0.1107,0.4948,0.2184,110.7077
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,5,193,205,"(186, 194, 14, 22)",308,0.5868,0.3179,0.5014,1.0,1.0,0.5167,0.7952,2007.0105
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,6,205,136,"(171, 85, 69, 103)",7107,0.5839,0.3179,0.4932,1.0,1.0,0.5142,0.7635,1497.9711
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,1,466,344,"(461, 338, 11, 12)",132,0.5795,0.5308,0.4968,1.0,0.1982,0.5095,0.2862,198.231
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,2,449,324,"(440, 320, 18, 9)",162,0.4723,0.5308,0.497,0.4841,0.1573,0.5014,0.0968,157.3279
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,3,486,203,"(474, 190, 25, 26)",650,0.6218,0.6613,0.4542,1.0,0.3142,0.5094,0.798,314.2462
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,4,416,169,"(408, 165, 16, 8)",128,0.4809,0.0264,0.4904,1.0,1.0,0.498,0.6446,1023.9735
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,5,213,129,"(210, 119, 6, 21)",126,0.4794,0.0278,0.4849,1.0,1.0,0.5087,0.4444,1085.3238
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,6,445,129,"(438, 118, 14, 23)",322,0.5794,0.5485,0.4936,1.0,0.1468,0.5036,0.2385,146.8104
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,7,16,91,"(3, 87, 26, 9)",234,0.5995,0.5549,0.4963,1.0,0.3155,0.5007,0.3401,315.5438
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,8,369,64,"(360, 50, 19, 28)",532,0.4939,0.5445,0.521,0.5444,0.121,0.5126,0.1089,121.0129
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,9,34,53,"(24, 40, 21, 27)",567,0.609,0.5538,0.4991,1.0,0.4052,0.499,0.3481,405.2321
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,10,86,25,"(76, 20, 20, 11)",220,0.4509,0.0264,0.5005,1.0,0.6653,0.503,0.5122,665.3425
18_jpg.rf.bIbjfifvfq6cg6ihN4Gz.jpg,1,494,461,"(477, 454, 35, 15)",525,0.6534,0.5498,0.4892,1.0,0.8975,0.5131,0.2918,897.4938
18_jpg.rf.bIbjfifvfq6cg6ihN4Gz.jpg,2,477,7,"(473, 0, 9, 15)",135,0.4987,0.3037,0.4858,0.8503,0.5229,0.4927,0.1701,522.9028
18_jpg.rf.fKduN09BlVIKGKgrSo7P.jpg,1,153,340,"(145, 331, 16, 18)",288,0.5801,0.3179,0.4823,1.0,1.0,0.5133,0.2786,1834.2988
18_jpg.rf.fKduN09BlVIKGKgrSo7P.jpg,2,224,176,"(216, 167, 16, 18)",288,0.528,0.1445,0.5069,1.0,1.0,0.503,0.394,2207.7265
195e4ad0af195a9b1bcf9ddf2749c954_jpg.rf.Dta8nxZdoexHik7PHHRe.jpg,1,496,486,"(480, 460, 32, 52)",1664,0.5919,0.6467,0.4621,1.0,0.0387,0.5087,0.9424,38.6588
195e4ad0af195a9b1bcf9ddf2749c954_jpg.rf.Dta8nxZdoexHik7PHHRe.jpg,2,79,11,"(72, 0, 15, 22)",330,0.621,0.7199,0.4823,1.0,0.0027,0.5039,1.0,2.699
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,1,402,434,"(396, 428, 12, 13)",156,0.5938,0.2894,0.5501,1.0,1.0,0.502,0.765,1876.3463
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,2,351,436,"(325, 398, 53, 77)",4081,0.4771,0.0316,0.4744,1.0,1.0,0.5045,0.9174,1702.6898
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,3,288,411,"(272, 381, 33, 61)",2013,0.4808,0.0316,0.485,1.0,1.0,0.4929,0.702,1398.0318
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,4,369,321,"(315, 246, 109, 151)",16459,0.5853,0.3179,0.4972,1.0,1.0,0.518,0.5164,1992.4246
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,5,201,270,"(192, 240, 19, 60)",1140,0.4904,0.0271,0.5169,1.0,1.0,0.4931,0.6904,1580.0174
