scene,det_id,cx,cy,x,y,w,h,area,score,rf,cnn,hsv,depth,hsv_frac,lap_var
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,3,507,367,502,359,10,16,160,0.6169,0.37,0.5355,1.0,1.0,0.2411,2188.31
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,4,224,372,215,356,19,32,608,0.6403,0.45,0.545,0.9604,1.0,0.1921,1467.97
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,5,219,329,206,316,26,27,702,0.7006,0.61,0.5509,0.9717,1.0,0.1943,1721.02
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,6,19,334,0,311,38,46,1748,0.669,0.61,0.5857,0.7524,1.0,0.1505,2171.6
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,7,505,188,499,181,13,14,182,0.6176,0.41,0.4973,1.0,1.0,0.4838,2277.94
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,8,247,102,237,89,21,26,546,0.6148,0.4,0.4995,1.0,1.0,0.2289,4062.43
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,1,248,414,238,405,20,18,360,0.6241,0.41,0.5191,0.9948,1.0,0.199,3862.25
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,2,502,324,493,316,19,16,304,0.6133,0.44,0.4551,1.0,1.0,0.3929,1883.05
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,3,503,233,494,229,18,8,144,0.6971,0.62,0.5155,1.0,0.9966,0.3896,996.56
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,4,214,182,201,171,27,23,621,0.6199,0.39,0.5846,0.8938,1.0,0.1788,2498.02
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,5,19,178,0,155,38,46,1748,0.6576,0.61,0.5296,0.7935,1.0,0.1587,2465.91
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,6,33,129,17,116,32,26,832,0.6478,0.61,0.4698,0.8493,1.0,0.1699,2301.61
11_jpg.rf.rBZ45MMHsDF3q7kduQEn.jpg,7,251,95,242,88,19,14,266,0.635,0.57,0.5405,0.7382,0.9872,0.1476,987.24
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,1,15,497,0,483,31,29,899,0.5263,0.41,0.5038,1.0,0.0651,0.322,65.1
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,2,55,469,44,460,23,19,437,0.5035,0.32,0.5389,1.0,0.0286,0.294,28.57
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,3,54,448,50,442,8,13,104,0.4951,0.34,0.4961,1.0,0.025,0.276,24.96
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,4,473,438,464,426,19,25,475,0.5928,0.53,0.5535,1.0,0.1355,0.2206,135.54
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,5,27,410,15,399,24,22,528,0.4887,0.31,0.5031,1.0,0.0408,0.3031,40.79
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,6,30,326,18,316,24,20,480,0.4546,0.32,0.5158,0.7986,0.0231,0.1597,23.15
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,7,102,316,96,312,13,9,117,0.5241,0.41,0.5079,1.0,0.028,0.4552,28.05
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,8,16,272,0,258,32,29,928,0.5014,0.31,0.5439,1.0,0.0257,0.3049,25.66
1200px-Saffron8_jpg.rf.CsB0w7kpqOcw4VoRlc0k.jpg,9,118,26,105,12,27,28,756,0.4581,0.21,0.541,0.9487,0.0555,0.1897,55.49
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,1,66,148,51,138,30,21,630,0.454,0.22,0.4923,1.0,0.0464,0.3196,46.43
12_jpg.rf.eQkezFdpF2AHymA2BaRI.jpg,2,317,81,310,76,14,10,140,0.5053,0.36,0.5021,1.0,0.0352,0.3374,35.2
1360438058_q_aboutsaffron_jpg.rf.ZmbdPXFJ5g1i9oQnqvuA.jpg,1,443,483,406,463,74,40,2960,0.6465,0.54,0.5669,1.0,0.5908,0.2109,590.84
1360438058_q_aboutsaffron_jpg.rf.ZmbdPXFJ5g1i9oQnqvuA.jpg,2,380,397,369,381,23,32,736,0.5398,0.39,0.5663,1.0,0.0513,0.3545,51.27
1360438058_q_aboutsaffron_jpg.rf.ZmbdPXFJ5g1i9oQnqvuA.jpg,3,446,362,440,357,12,10,120,0.536,0.45,0.5003,1.0,0.0343,0.4205,34.29
1360438058_q_aboutsaffron_jpg.rf.ZmbdPXFJ5g1i9oQnqvuA.jpg,4,503,214,494,205,18,19,342,0.4508,0.25,0.5058,0.9207,0.0217,0.1841,21.67
13_jpg.rf.6PfPe4Q5FcM3WU69wARp.jpg,1,272,451,248,439,49,24,1176,0.4823,0.23,0.5351,1.0,0.1452,0.3711,145.15
13_jpg.rf.6PfPe4Q5FcM3WU69wARp.jpg,2,418,90,404,82,28,17,476,0.4622,0.24,0.4914,1.0,0.0619,0.4957,61.94
13_jpg.rf.6PfPe4Q5FcM3WU69wARp.jpg,3,347,98,308,82,78,33,2574,0.5144,0.37,0.5132,1.0,0.053,0.377,52.98
13_jpg.rf.6PfPe4Q5FcM3WU69wARp.jpg,4,428,59,397,41,62,36,2232,0.4504,0.2,0.499,1.0,0.0572,0.4358,57.17
13_jpg.rf.6PfPe4Q5FcM3WU69wARp.jpg,5,426,11,385,0,82,22,1804,0.4612,0.21,0.5156,1.0,0.072,0.6322,72.02
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,1,426,499,386,486,81,26,2106,0.4511,0.2,0.5019,1.0,0.0543,0.6035,54.32
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,2,89,460,82,445,15,31,465,0.5248,0.25,0.5235,1.0,0.541,0.3247,541.05
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,3,433,453,399,434,68,39,2652,0.578,0.31,0.5126,1.0,0.9005,0.4054,900.46
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,4,417,421,400,412,35,19,665,0.5987,0.39,0.4635,1.0,1.0,0.5312,2133.37
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,5,357,419,329,409,57,20,1140,0.6574,0.53,0.491,1.0,1.0,0.4506,2426.63
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,6,314,407,305,397,18,21,378,0.675,0.53,0.5414,1.0,1.0,0.6121,3234.33
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,7,476,340,469,329,14,23,322,0.5133,0.33,0.5527,0.522,1.0,0.1044,2831.75
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,8,31,317,0,287,62,60,3720,0.5215,0.17,0.4972,1.0,0.8803,0.328,880.28
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,9,10,286,0,274,20,25,500,0.5272,0.18,0.5267,0.8992,1.0,0.1798,2715.16
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,10,271,62,248,50,47,25,1175,0.6045,0.36,0.51,1.0,1.0,0.4388,1875.18
13_jpg.rf.h4j3M6EJALR5YZeS2C3g.jpg,11,56,21,0,0,112,42,4704,0.5332,0.2,0.4662,1.0,1.0,0.6815,1219.34
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,1,421,449,411,431,20,36,720,0.5797,0.42,0.4953,1.0,0.5937,0.2441,593.71
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,2,129,139,120,120,19,38,722,0.5715,0.37,0.5551,1.0,0.4771,0.3748,477.14
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,3,488,116,478,113,20,7,140,0.565,0.58,0.5129,0.7895,0.2454,0.1579,245.39
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,4,390,78,379,68,23,20,460,0.4701,0.49,0.5065,0.5893,0.0345,0.1179,34.46
1478859980_105980_0_jpg.rf.gMLRlfGgBWEETxKFuNjU.jpg,5,461,56,455,50,13,13,169,0.5922,0.54,0.5171,1.0,0.2217,0.224,221.68
14_jpg.rf.Ie3lfICCvQrk35bICAX3.jpg,1,375,381,352,362,47,38,1786,0.6615,0.55,0.4829,1.0,1.0,0.2546,1814.31
14_jpg.rf.Ie3lfICCvQrk35bICAX3.jpg,2,386,217,374,205,24,25,600,0.6142,0.41,0.4876,1.0,1.0,0.3423,2582.43
14_jpg.rf.VpBCTCV39Y1aQr1GPg4q.jpg,1,226,429,217,413,19,32,608,0.5843,0.41,0.4023,1.0,1.0,0.3314,2141.53
14_jpg.rf.VpBCTCV39Y1aQr1GPg4q.jpg,2,349,415,334,385,30,61,1830,0.6732,0.55,0.5163,1.0,1.0,0.2446,2147.93
14_jpg.rf.VpBCTCV39Y1aQr1GPg4q.jpg,3,261,386,244,361,35,51,1785,0.5119,0.31,0.425,0.7734,1.0,0.1547,1393.36
15_jpg.rf.GFuly0eQ0Sww19YTb3Mq.jpg,1,154,349,141,337,27,24,648,0.6122,0.35,0.5419,1.0,1.0,0.3967,2282.3
15_jpg.rf.GFuly0eQ0Sww19YTb3Mq.jpg,2,140,193,128,185,25,17,425,0.563,0.27,0.4813,1.0,1.0,0.753,1552.3
15_jpg.rf.NQh9a5yULlmKxR7GbOsy.jpg,1,151,349,127,327,48,44,2112,0.5699,0.4,0.5653,1.0,0.3203,0.2673,320.32
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,1,359,349,346,337,27,25,675,0.6061,0.36,0.5146,1.0,1.0,0.386,3359.91
15_jpg.rf.mQLj2Ldr6LWqv7GP1Aju.jpg,2,391,327,383,321,17,12,204,0.632,0.47,0.4787,1.0,1.0,0.2543,2122.04
16_jpg.rf.6DAvm25nW55gQV2vTIKH.jpg,1,447,496,439,491,17,10,170,0.6593,0.46,0.5666,1.0,1.0,0.2774,2019.46
16_jpg.rf.6DAvm25nW55gQV2vTIKH.jpg,2,347,206,331,198,33,17,561,0.6447,0.54,0.5193,0.8697,1.0,0.1739,2291.53
16_jpg.rf.BPxUp4onx3Jb9vuciPKZ.jpg,1,447,496,439,491,17,10,170,0.6593,0.46,0.5666,1.0,1.0,0.2774,2019.46
16_jpg.rf.h3dQQdJlrp8ucXQKz5ua.jpg,1,16,448,12,439,8,18,144,0.6654,0.47,0.5741,1.0,1.0,0.285,1997.79
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,1,310,485,294,473,33,24,792,0.572,0.58,0.4533,1.0,0.104,0.3315,103.97
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,2,377,488,345,465,65,47,3055,0.5827,0.57,0.4893,1.0,0.1193,0.334,119.25
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,3,464,482,429,452,71,60,4260,0.5903,0.58,0.4785,1.0,0.1984,0.3768,198.43
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,4,505,441,498,435,14,13,182,0.538,0.42,0.5282,1.0,0.0614,0.316,61.36
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,5,376,437,368,427,16,21,336,0.4923,0.51,0.5098,0.6061,0.1411,0.1212,141.1
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,6,30,423,22,418,17,11,187,0.5703,0.52,0.5203,1.0,0.0616,0.3223,61.62
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,7,407,429,392,406,31,46,1426,0.5693,0.54,0.4803,1.0,0.1224,0.2867,122.44
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,8,68,387,43,374,50,27,1350,0.5393,0.4,0.5003,1.0,0.2416,0.3122,241.63
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,9,130,386,117,372,27,28,756,0.5944,0.51,0.5266,1.0,0.3165,0.2423,316.49
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,10,462,346,455,337,15,18,270,0.553,0.55,0.4841,0.9198,0.071,0.184,71.02
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,11,34,334,10,321,49,26,1274,0.6278,0.57,0.6333,1.0,0.0669,0.346,66.88
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,12,494,306,489,298,11,16,176,0.5542,0.48,0.5021,1.0,0.1049,0.2081,104.94
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,13,498,244,493,238,11,13,143,0.5098,0.37,0.4947,1.0,0.0713,0.3722,71.3
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,14,460,186,442,171,36,31,1116,0.59,0.6,0.4863,1.0,0.0983,0.3101,98.34
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,15,136,169,124,156,25,27,675,0.5878,0.57,0.4991,1.0,0.136,0.4782,136.01
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,16,101,130,94,124,15,12,180,0.5936,0.6,0.4882,1.0,0.1268,0.3056,126.79
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,17,65,133,54,112,23,42,966,0.5529,0.43,0.4659,1.0,0.3931,0.3534,393.15
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,18,346,119,342,108,8,22,176,0.5816,0.33,0.5138,1.0,0.8622,0.4456,862.17
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,19,9,103,0,91,18,25,450,0.5496,0.43,0.4633,1.0,0.3694,0.3209,369.4
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,20,441,101,433,88,17,26,442,0.5004,0.35,0.5435,0.8938,0.0895,0.1788,89.46
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,21,198,36,191,21,14,30,420,0.5625,0.39,0.4888,1.0,0.5493,0.62,549.35
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,22,295,11,280,0,30,23,690,0.5923,0.52,0.4915,1.0,0.3824,0.5008,382.35
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,23,173,28,160,0,27,56,1512,0.506,0.37,0.4759,1.0,0.0995,0.4388,99.46
17_jpg.rf.jv43NxzWuTZXHQ9BROuN.jpg,24,62,7,53,0,19,14,266,0.5257,0.58,0.5197,0.6532,0.1019,0.1306,101.88
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,1,42,472,36,463,13,18,234,0.5582,0.47,0.5086,1.0,0.1567,0.2307,156.7
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,2,249,461,235,448,29,27,783,0.5874,0.51,0.5088,1.0,0.3081,0.3877,308.11
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,3,361,449,352,441,19,16,304,0.5031,0.47,0.5554,0.6452,0.1518,0.129,151.8
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,4,484,434,478,429,12,11,132,0.4941,0.27,0.5199,1.0,0.1764,0.2464,176.36
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,5,418,349,413,339,10,21,210,0.5579,0.49,0.4983,1.0,0.1203,0.2989,120.26
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,6,505,325,499,321,13,9,117,0.5764,0.52,0.5225,1.0,0.1156,0.3459,115.57
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,7,483,330,475,319,16,23,368,0.5526,0.47,0.4839,1.0,0.1876,0.2663,187.63
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,8,13,275,0,269,26,12,312,0.5653,0.47,0.5247,1.0,0.1713,0.332,171.29
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,9,92,181,82,174,21,14,294,0.5383,0.27,0.5864,1.0,0.3855,0.3275,385.51
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,10,374,162,366,157,17,11,187,0.5323,0.33,0.4837,1.0,0.4751,0.5532,475.08
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,11,38,139,31,131,14,16,224,0.5639,0.28,0.5714,1.0,0.6586,0.3695,658.6
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,12,409,119,402,108,15,23,345,0.5767,0.51,0.5238,1.0,0.1489,0.2466,148.89
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,13,496,92,483,87,26,11,286,0.5606,0.42,0.4976,1.0,0.3938,0.6236,393.78
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,14,478,58,465,50,27,16,432,0.5863,0.51,0.5227,1.0,0.2485,0.2802,248.49
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,15,437,58,432,50,11,17,187,0.5122,0.53,0.4494,0.6672,0.3598,0.1334,359.85
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,16,393,67,379,47,29,40,1160,0.5763,0.52,0.5153,1.0,0.1393,0.272,139.33
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,17,506,35,500,27,12,17,204,0.5689,0.52,0.5064,1.0,0.0965,0.3218,96.45
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,18,185,36,172,26,27,21,567,0.5408,0.5,0.4894,0.8236,0.2978,0.1647,297.83
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,19,482,27,479,20,7,15,105,0.5562,0.49,0.5205,0.9747,0.0764,0.1949,76.36
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,20,283,9,273,3,20,13,260,0.479,0.44,0.5351,0.6463,0.0845,0.1293,84.46
17b208a4c291ddcfaf24be6f93448f16_jpg.rf.QtGBPhHTGP4svYCGw9nR.jpg,21,179,5,174,0,10,10,100,0.4748,0.39,0.5438,0.696,0.0871,0.1392,87.12
18_jpg.rf.bIbjfifvfq6cg6ihN4Gz.jpg,1,483,462,461,455,44,15,660,0.598,0.33,0.5419,1.0,0.9286,0.2698,928.64
18_jpg.rf.bIbjfifvfq6cg6ihN4Gz.jpg,2,317,394,310,381,14,27,378,0.6379,0.37,0.5955,1.0,1.0,0.2811,1482.06
18_jpg.rf.fKduN09BlVIKGKgrSo7P.jpg,1,153,339,145,330,16,19,304,0.6367,0.37,0.5921,1.0,1.0,0.2696,1821.41
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,1,434,499,431,487,7,25,175,0.5804,0.26,0.5411,1.0,1.0,0.489,1327.29
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,2,142,484,131,476,22,17,374,0.4937,0.29,0.5387,1.0,0.0366,0.4006,36.61
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,3,434,470,431,459,7,22,154,0.5571,0.25,0.4846,1.0,1.0,0.469,1654.68
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,4,400,229,394,220,12,18,216,0.6267,0.34,0.5934,1.0,1.0,0.4917,3019.18
19_jpg.rf.79H9zYqpvEHkBUmIsL4r.jpg,5,282,88,276,82,13,12,156,0.6061,0.34,0.5346,1.0,1.0,0.2083,2042.51
19_jpg.rf.Px3ba8IURgg8AapnTZIw.jpg,1,230,425,224,420,12,10,120,0.5802,0.27,0.5664,0.9375,1.0,0.1875,1647.62
19_jpg.rf.Px3ba8IURgg8AapnTZIw.jpg,2,275,385,239,327,73,117,8541,0.6014,0.3,0.5611,1.0,1.0,0.4782,2007.72
19_jpg.rf.Px3ba8IURgg8AapnTZIw.jpg,3,77,33,72,4,11,59,649,0.5778,0.29,0.5038,1.0,1.0,0.5047,1109.37
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,1,508,498,505,485,7,27,189,0.5164,0.38,0.5056,1.0,0.0645,0.4499,64.51
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,2,485,498,478,485,15,27,405,0.5385,0.46,0.4996,1.0,0.0267,0.2671,26.69
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,3,234,423,227,416,14,14,196,0.4632,0.41,0.4984,0.7175,0.018,0.1435,18.01
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,4,455,417,450,408,11,18,198,0.4592,0.47,0.5324,0.5217,0.0407,0.1043,40.67
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,5,235,401,226,397,18,9,162,0.5069,0.27,0.5642,1.0,0.1498,0.2063,149.81
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,6,492,340,482,331,20,18,360,0.4823,0.44,0.4639,0.8125,0.0339,0.1625,33.86
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,7,420,309,415,300,11,19,209,0.541,0.51,0.5012,0.9257,0.0189,0.1851,18.93
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,8,412,279,407,270,10,19,190,0.5248,0.42,0.5011,1.0,0.0239,0.283,23.91
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,9,146,62,131,52,31,20,620,0.4618,0.42,0.5264,0.6286,0.0489,0.1257,48.88
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,10,181,30,173,24,16,13,208,0.4843,0.5,0.5062,0.6357,0.0504,0.1271,50.37
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,11,195,14,191,8,9,12,108,0.4835,0.53,0.5041,0.5853,0.0451,0.1171,45.15
19d2a8635ecbd31e3c6120f6d2545f55_jpg.rf.Cl82A6hyXFcytZsFzsLT.jpg,12,272,34,262,0,21,69,1449,0.5462,0.48,0.5479,0.9172,0.0301,0.1834,30.06
1_jpg.rf.y3SzQJA2JqfPYvGUTJvj.jpg,1,374,479,367,472,14,15,210,0.5694,0.58,0.5088,0.4416,1.0,0.0883,1803.83
1_jpg.rf.y3SzQJA2JqfPYvGUTJvj.jpg,2,275,477,271,470,8,14,112,0.5291,0.49,0.5701,0.6731,0.2341,0.1346,234.05
1_jpg.rf.y3SzQJA2JqfPYvGUTJvj.jpg,3,367,457,358,449,19,16,304,0.5952,0.57,0.5355,0.5415,1.0,0.1083,1104.17
1_jpg.rf.y3SzQJA2JqfPYvGUTJvj.jpg,4,480,471,449,431,63,81,5103,0.6015,0.51,0.4669,1.0,0.5959,0.4401,595.85
